Campaign Name,Campaign Start Date,Ad Group Name,Ad Group Start Date,Keyword,Match Type,Bid,Ad Title,Ad Title 2,Ad Text,Display URL,Landing URL,Sitelink 1,Sitelink 2,Sitelink 3,Sitelink 4
Поиск - Тёплый спрос,,Общий выкуп,,продать авто дорого хабаровск,PHRASE,,Выкупаем авто на 15% дороже,Оценка за 5 минут онлайн,"Честная оценка по рынку. Деньги сразу. Оформление 30 минут. Работаем по всему Хабаровскому краю. 4.9★ (400+ отзывов)",avtovykupkhb27.ru,https://avtovykupkhb27.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=search_warm&utm_term=prodaty_dorogo,Калькулятор стоимости,Отзывы клиентов,Комсомольск,Амурск
Поиск - Тёплый спрос,,Оценка,,оценка авто хабаровск,PHRASE,,Оценка авто онлайн за 5 минут,Бесплатно и без обязательств,"Узнайте реальную стоимость вашего авто прямо сейчас. Оценка по фото. Предложим на 15% выше рынка. Деньги сразу после осмотра.",avtovykupkhb27.ru,https://avtovykupkhb27.ru/evaluation?utm_source=yandex&utm_medium=cpc&utm_campaign=search_warm&utm_term=ocenka,Оценить онлайн,Как это работает,Отзывы,Позвонить
Поиск - Тёплый спрос,,Оценка,,оценка стоимости авто хабаровск,PHRASE,,Оценка авто онлайн за 5 минут,Бесплатно и без обязательств,"Узнайте реальную стоимость вашего авто прямо сейчас. Оценка по фото. Предложим на 15% выше рынка. Деньги сразу после осмотра.",avtovykupkhb27.ru,https://avtovykupkhb27.ru/evaluation?utm_source=yandex&utm_medium=cpc&utm_campaign=search_warm&utm_term=stoimosty,Оценить онлайн,Как это работает,Отзывы,Позвонить
Поиск - Города,,Комсомольск,,выкуп авто комсомольск на амуре,PHRASE,,Выкуп авто Комсомольск-на-Амуре,За 15 минут. Деньги сразу!,"Срочный выкуп автомобилей в Комсомольске. Бесплатный выезд оценщика. Битые, кредитные, без документов. На 15% дороже конкурентов.",avtovykupkhb27.ru,https://avtovykupkhb27.ru/komsomolsk?utm_source=yandex&utm_medium=cpc&utm_campaign=search_cities&utm_term=komsomolsk,Узнать цену,Битые авто,Кредитные,Позвонить
Поиск - Города,,Комсомольск,,автовыкуп комсомольск,PHRASE,,Выкуп авто Комсомольск-на-Амуре,За 15 минут. Деньги сразу!,"Срочный выкуп автомобилей в Комсомольске. Бесплатный выезд оценщика. Битые, кредитные, без документов. На 15% дороже конкурентов.",avtovykupkhb27.ru,https://avtovykupkhb27.ru/komsomolsk?utm_source=yandex&utm_medium=cpc&utm_campaign=search_cities&utm_term=komsomolsk_avto,Узнать цену,Битые авто,Кредитные,Позвонить
Поиск - Города,,Амурск,,выкуп авто амурск,PHRASE,,Выкуп авто Амурск за 15 минут,На 15% дороже конкурентов,"Срочный выкуп автомобилей в Амурске. Бесплатный выезд. Оценка за 15 минут. Битые, кредитные, без документов. Деньги сразу.",avtovykupkhb27.ru,https://avtovykupkhb27.ru/amursk?utm_source=yandex&utm_medium=cpc&utm_campaign=search_cities&utm_term=amursk,Оценить авто,Как это работает,Отзывы,Позвонить
Поиск - Города,,Амурск,,автовыкуп амурск,PHRASE,,Выкуп авто Амурск за 15 минут,На 15% дороже конкурентов,"Срочный выкуп автомобилей в Амурске. Бесплатный выезд. Оценка за 15 минут. Битые, кредитные, без документов. Деньги сразу.",avtovykupkhb27.ru,https://avtovykupkhb27.ru/amursk?utm_source=yandex&utm_medium=cpc&utm_campaign=search_cities&utm_term=amursk_avto,Оценить авто,Как это работает,Отзывы,Позвонить
Поиск - Города,,Советская Гавань,,выкуп авто советская гавань,PHRASE,,Выкуп авто Советская Гавань,Бесплатный выезд по району,"Срочный выкуп автомобилей в Советской Гавани. Приедем в любой район. Оценка бесплатно. Битые, кредитные. Деньги сразу.",avtovykupkhb27.ru,https://avtovykupkhb27.ru/sovetskaya-gavan?utm_source=yandex&utm_medium=cpc&utm_campaign=search_cities&utm_term=sovgavan,Узнать цену,Битые авто,Выезд бесплатно,Позвонить
Поиск - Города,,Бикин,,выкуп авто бикин,PHRASE,,Выкуп авто Бикин за 15 минут,Деньги сразу наличными,"Срочный выкуп автомобилей в Бикине. Битые, кредитные, без документов. Оценка бесплатно. Работаем без выходных.",avtovykupkhb27.ru,https://avtovykupkhb27.ru/bikin?utm_source=yandex&utm_medium=cpc&utm_campaign=search_cities&utm_term=bikin,Оценить авто,Битые авто,Отзывы,Позвонить
Поиск - Специальные,,Без документов,,выкуп авто без документов хабаровск,PHRASE,,Выкуп авто без документов,Поможем восстановить документы,"Покупаем авто без ПТС и СТС. Помогаем с восстановлением документов. Работаем законно. Деньги сразу после оформления.",avtovykupkhb27.ru,https://avtovykupkhb27.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=search_special&utm_term=bez_dokumentov,Без документов,Как это работает,Оценить авто,Позвонить
Поиск - Специальные,,Не на ходу,,выкуп авто не на ходу хабаровск,PHRASE,,Выкуп авто не на ходу,Эвакуация бесплатно!,"Покупаем авто с любыми неисправностями. Не заводится, не едет — не проблема. Эвакуатор за наш счёт. Оценка на месте.",avtovykupkhb27.ru,https://avtovykupkhb27.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=search_special&utm_term=ne_na_hodu,Не на ходу,Эвакуация,Оценка,Позвонить
Поиск - Специальные,,После ДТП,,продать машину после дтп хабаровск,PHRASE,,Выкуп авто после ДТП дорого,Оценка за 15 минут,"Покупаем битые автомобили после любых ДТП. Оценка по реальной стоимости. Деньги сразу наличными. Эвакуация бесплатно.",avtovykupkhb27.ru,https://avtovykupkhb27.ru/vykup-bityh-avto?utm_source=yandex&utm_medium=cpc&utm_campaign=search_special&utm_term=posle_dtp_prodaty,После ДТП,Оценить битое,Эвакуация,Позвонить
